Highest NIBRS/UCR Offense Description,GO Report Date,GO Location Zip
Agg Assault,1-Jan-16,78735
Theft,1-Jan-16,78701
Robbery,1-Jan-16,78753
Theft,1-Jan-16,78701
Rape,1-Jan-16,78753
Agg Assault,1-Jan-16,78724
Robbery,1-Jan-16,78741
Agg Assault,1-Jan-16,78741
Agg Assault,1-Jan-16,78704
Burglary,1-Jan-16,78748
Burglary,1-Jan-16,78758
Auto Theft,1-Jan-16,78753
Auto Theft,1-Jan-16,78744
Agg Assault,1-Jan-16,78744
Burglary,1-Jan-16,78747
Burglary,1-Jan-16,78748
Agg Assault,1-Jan-16,78704
Agg Assault,1-Jan-16,78756
Rape,1-Jan-16,78751
Burglary,1-Jan-16,78759
Burglary,1-Jan-16,78704
Burglary,1-Jan-16,78723
Burglary,1-Jan-16,78701
Rape,1-Jan-16,78752
Burglary,1-Jan-16,78745
Burglary,1-Jan-16,78748
Burglary,1-Jan-16,78741
Burglary,1-Jan-16,78749
Theft,1-Jan-16,78701
Theft,1-Jan-16,78758
Theft,1-Jan-16,78744
Theft,1-Jan-16,78748
Auto Theft,1-Jan-16,78744
Burglary,1-Jan-16,78745
Theft,1-Jan-16,78751
Theft,1-Jan-16,78748
Theft,1-Jan-16,78748
Burglary,1-Jan-16,78744
Auto Theft,1-Jan-16,78752
Agg Assault,1-Jan-16,78752
Burglary,1-Jan-16,78752
Theft,1-Jan-16,78701
Theft,1-Jan-16,78748
Agg Assault,1-Jan-16,78731
Auto Theft,1-Jan-16,78723
Theft,1-Jan-16,78753
Theft,1-Jan-16,78758
Theft,1-Jan-16,78723
Theft,1-Jan-16,78701
Theft,1-Jan-16,78753
Theft,1-Jan-16,78701
Theft,1-Jan-16,78704
Theft,1-Jan-16,78701
Theft,1-Jan-16,78723
Theft,1-Jan-16,78723
Theft,1-Jan-16,78748
Theft,1-Jan-16,78758
Theft,1-Jan-16,78753
Theft,1-Jan-16,78748
Theft,1-Jan-16,78753
Theft,1-Jan-16,78753
Theft,1-Jan-16,78704
Theft,1-Jan-16,78702
Theft,1-Jan-16,78702
Theft,1-Jan-16,78701
Theft,1-Jan-16,78751
Theft,1-Jan-16,78752
Theft,1-Jan-16,78752
Theft,1-Jan-16,78722
Theft,1-Jan-16,78702
Theft,1-Jan-16,78751
Theft,1-Jan-16,78705
Theft,1-Jan-16,78741
Theft,1-Jan-16,78749
Theft,1-Jan-16,78702
Theft,1-Jan-16,78757
Theft,1-Jan-16,78722
Theft,1-Jan-16,78701
Theft,1-Jan-16,78701
Theft,1-Jan-16,78701
Theft,1-Jan-16,78722
Agg Assault,2-Jan-16,78721
Robbery,2-Jan-16,78752
Robbery,2-Jan-16,78752
Theft,2-Jan-16,78745
Robbery,2-Jan-16,78752
Rape,2-Jan-16,78741
Theft,2-Jan-16,78758
Theft,2-Jan-16,78753
Theft,2-Jan-16,78739
Agg Assault,2-Jan-16,78705
Agg Assault,2-Jan-16,78741
Auto Theft,2-Jan-16,78753
Theft,2-Jan-16,78744
Burglary,2-Jan-16,78751
Auto Theft,2-Jan-16,78753
Theft,2-Jan-16,78748
Auto Theft,2-Jan-16,78741
Robbery,2-Jan-16,78729
Agg Assault,2-Jan-16,78741
Theft,2-Jan-16,78749
